time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2007-11-15T15:05:58.350Z,-22.925,-70.237,26,6.8,mwc,285,40.1,,1.13,us,usp000fsmf,2015-02-12T21:17:47.884Z,"Antofagasta, Chile",earthquake
2007-11-15T15:15:48.580Z,-22.788,-70.195,29.4,5.6,mb,161,94.3,,1.18,us,usp000fsmj,2014-11-07T01:34:10.669Z,"Antofagasta, Chile",earthquake
2007-11-15T17:18:21.240Z,-23.005,-174.996,37.1,5.8,mwc,259,36.5,,1.01,us,usp000fsmx,2015-02-12T23:20:48.541Z,"Tonga region",earthquake
2007-11-16T03:13:00.120Z,-2.312,-77.838,122.9,6.8,mwc,649,27,,0.88,us,usp000fsnz,2015-02-12T22:18:42.886Z,"Peru-Ecuador border region",earthquake
2007-11-16T08:42:39.000Z,-22.84,-70.601,14.8,5.5,mwc,232,93.5,,,us,usp000fspj,2015-02-11T17:18:43.000Z,"near the coast of Antofagasta, Chile",earthquake
2007-11-17T03:07:32.500Z,-23.045,-70.287,34.5,5.5,mwc,300,47.6,,,us,usp000fsrh,2015-02-11T17:18:43.000Z,"Antofagasta, Chile",earthquake
2007-11-17T17:54:32.770Z,-23.059,-70.598,14.7,5.9,mwc,296,44.3,,1.17,us,usp000fssq,2015-02-12T22:37:07.585Z,"near the coast of Antofagasta, Chile",earthquake
2007-11-18T05:40:12.040Z,-22.643,-66.323,246.4,6,mwb,476,41,,0.99,us,usp000fsu0,2015-02-12T21:34:26.698Z,"Jujuy, Argentina",earthquake
2007-11-18T12:15:40.730Z,-23.104,-70.55,33,5.7,mwc,242,49.6,,0.94,us,usp000fsun,2015-02-12T23:33:42.953Z,"Antofagasta, Chile",earthquake
2007-11-19T00:52:12.510Z,-21.185,-178.752,558.3,6.3,mwb,648,13.1,,0.98,us,usp000fsvq,2015-02-12T21:52:50.037Z,"Fiji region",earthquake
2007-11-19T15:20:03.700Z,-21.968,173.486,10,6,mwc,172,33.1,,1.39,us,usp000fswp,2015-02-12T22:56:40.741Z,"Vanuatu region",earthquake
2007-11-19T20:32:48.800Z,43.542,-127.414,10,5.8,mwc,199,105.4,,0.99,us,usp000fsx6,2015-02-12T23:17:57.452Z,"off the coast of Oregon",earthquake
2007-11-19T23:30:28.900Z,-22.791,-70.769,29.9,5.9,mwc,332,46,,,us,usp000fsxh,2015-02-12T21:48:29.558Z,"near the coast of Antofagasta, Chile",earthquake
2007-11-20T12:52:59.030Z,-6.907,155.672,52.6,6,mwb,330,19.2,,1.04,us,usp000fsyv,2015-02-12T23:18:15.167Z,"Bougainville region, Papua New Guinea",earthquake
2007-11-20T15:28:24.890Z,-29.987,-177.942,32,5.9,mwc,384,23.7,,0.84,us,usp000fsz8,2015-02-12T22:56:48.578Z,"Kermadec Islands, New Zealand",earthquake
2007-11-20T17:55:51.530Z,-22.917,-70.483,15,6.1,mwc,360,49.2,,1.3,us,usp000fszg,2015-02-12T23:39:37.003Z,"near the coast of Antofagasta, Chile",earthquake
2007-11-20T23:52:55.500Z,-17.824,-173.225,35,5.7,mwc,275,31.7,,0.89,us,usp000ft00,2015-02-12T23:31:01.320Z,"Tonga",earthquake
2007-11-21T12:55:05.600Z,-24.81,-68.472,115.4,5.8,mwb,320,31.1,,0.96,us,usp000ft16,2015-02-12T21:08:45.057Z,"Salta, Argentina",earthquake
2007-11-22T08:48:27.530Z,-5.757,147.098,53,6.8,mwc,341,15.9,,1.18,us,usp000ft2k,2015-02-12T20:30:39.211Z,"eastern New Guinea region, Papua New Guinea",earthquake
2007-11-22T23:02:12.960Z,4.743,95.06,49.3,5.8,mwb,484,35.2,,0.76,us,usp000ft3u,2015-02-12T23:19:04.562Z,"northern Sumatra, Indonesia",earthquake
2007-11-23T01:26:47.440Z,-4.63,151.869,150.3,5.9,mwb,300,17.4,,0.78,us,usp000ft42,2015-02-12T23:30:39.518Z,"New Britain region, Papua New Guinea",earthquake
2007-11-23T12:22:52.250Z,-17.924,-174.683,35,5.5,mwc,151,41.3,,1.11,us,usp000ft52,2015-02-11T17:18:43.000Z,"Tonga",earthquake
2007-11-23T12:37:34.980Z,-17.85,-174.768,35,5.6,mwc,155,75.9,,1.1,us,usp000ft53,2015-02-12T20:38:20.526Z,"Tonga",earthquake
2007-11-23T19:18:47.400Z,-53.27,9.426,10,5.5,mwc,39,63,,1.27,us,usp000ft5j,2015-02-11T17:18:43.000Z,"southwest of Africa",earthquake
2007-11-24T05:02:06.800Z,-23.77,-69.012,92.1,5.6,mwb,332,40.6,,,us,usp000ft6k,2015-02-12T21:09:50.112Z,"Antofagasta, Chile",earthquake
2007-11-25T00:11:30.060Z,-16.116,-172.621,10,5.6,mwc,215,52.8,,1.05,us,usp000ft80,2015-02-12T21:44:39.217Z,"Samoa Islands region",earthquake
2007-11-25T02:51:57.220Z,-2.808,101.162,55.9,5.9,mwc,406,52.5,,0.76,us,usp000ft85,2015-02-12T20:17:10.261Z,"southern Sumatra, Indonesia",earthquake
2007-11-25T16:02:15.750Z,-8.292,118.37,20,6.5,mwc,353,27.5,,1.15,us,usp000ft98,2015-02-12T20:54:41.606Z,"Sumbawa region, Indonesia",earthquake
2007-11-25T16:02:17.000Z,-8.28,118.34,35,6.5,mwc,,,,,gcmt,gcmt20071125160217,2015-02-11T17:18:43.000Z,"Sumbawa region, Indonesia",earthquake
2007-11-25T17:41:38.040Z,-2.238,100.413,35,6,mwb,331,28.5,,0.93,us,usp000ft9g,2015-02-12T20:33:31.370Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-11-25T19:53:05.470Z,-8.224,118.467,18,6.5,mwc,272,27.6,,1.21,us,usp000ft9p,2015-02-12T23:33:08.240Z,"Sumbawa region, Indonesia",earthquake
2007-11-25T19:53:08.000Z,-8.23,118.45,35,6.5,mwc,,,,,gcmt,gcmt20071125195308,2015-02-11T17:18:43.000Z,"Sumbawa region, Indonesia",earthquake
2007-11-26T13:51:39.000Z,37.39,141.59,42.4,5.9,mwc,,,,,gcmt,gcmt20071126135139,2015-02-11T17:18:44.000Z,"near the east coast of Honshu, Japan",earthquake
2007-11-26T13:51:39.800Z,37.392,141.586,42.4,5.9,mwc,420,43.8,,0.72,us,usp000ftbs,2015-02-12T22:58:02.363Z,"near the east coast of Honshu, Japan",earthquake
2007-11-26T17:41:40.600Z,15.28,-93.363,87.2,5.7,mwc,344,31.8,,,us,usp000ftc6,2015-02-12T20:41:52.662Z,"offshore Chiapas, Mexico",earthquake
2007-11-26T21:56:12.800Z,18.654,-101.703,53,5.8,mwc,471,29.9,,,us,usp000ftch,2015-02-12T21:35:36.741Z,"Michoacan, Mexico",earthquake
2007-11-27T04:26:58.560Z,16.058,119.838,35,5.9,mwc,340,26.1,,0.82,us,usp000ftd0,2015-02-12T22:47:27.828Z,"Luzon, Philippines",earthquake
2007-11-27T04:27:00.000Z,16.08,119.85,52.5,5.9,mwc,,,,,gcmt,gcmt20071127042700,2015-02-11T17:18:44.000Z,"Luzon, Philippines",earthquake
2007-11-27T11:49:58.010Z,-10.95,162.149,16,6.6,mwc,280,26.9,,1.08,us,usp000ftdp,2015-02-12T20:15:13.028Z,"Solomon Islands",earthquake
2007-11-29T03:26:22.690Z,-36.756,-97.404,10,6.3,mwc,192,43.2,,1.38,us,usp000ftgv,2015-02-12T22:26:10.106Z,"West Chile Rise",earthquake
2007-11-29T19:00:19.000Z,14.97,-61.26,150.5,7.4,mww,,,,,duputel,duputel200711291900a,2015-02-12T16:21:21.000Z,"Martinique region, Windward Islands",earthquake
2007-11-29T19:00:20.420Z,14.944,-61.274,156,7.4,mwb,663,13.4,,0.74,us,usp000ftj1,2015-02-12T20:09:48.327Z,"Martinique region, Windward Islands",earthquake
2007-12-01T01:44:31.950Z,1.981,97.883,44.6,5.9,mwb,415,30.1,,0.81,us,usp000ftmr,2015-02-12T23:42:59.902Z,"Nias region, Indonesia",earthquake
2007-12-03T21:52:45.580Z,-6.374,148.463,29.5,5.9,mwc,182,24.1,,1,us,usp000ftt4,2015-02-12T21:11:07.140Z,"New Britain region, Papua New Guinea",earthquake
2007-12-03T22:33:13.380Z,-6.452,148.623,37.9,5.7,mwc,141,37.7,,1.09,us,usp000ftt7,2015-02-12T22:40:25.848Z,"New Britain region, Papua New Guinea",earthquake
2007-12-04T03:37:07.870Z,2.018,126.17,88.3,5.6,mwc,191,24.9,,0.82,us,usp000ftth,2015-02-12T22:30:47.416Z,"Molucca Sea",earthquake
2007-12-06T17:12:03.220Z,22.692,-45.113,10,5.8,mwb,403,26.4,,1,us,usp000fty2,2015-02-12T22:43:21.211Z,"northern Mid-Atlantic Ridge",earthquake
2007-12-06T21:43:47.010Z,12.263,125.386,37.4,5.9,mwc,170,46.2,,0.87,us,usp000ftye,2015-02-12T22:27:24.920Z,"Samar, Philippines",earthquake
2007-12-07T00:47:37.620Z,29.935,141.003,85.5,5.9,mwc,379,19.4,,0.89,us,usp000ftyq,2015-02-12T20:53:01.063Z,"Izu Islands, Japan region",earthquake
2007-12-07T01:41:01.610Z,-13.516,-76.656,22.3,5.6,mwc,237,67.6,,1.02,us,usp000ftyt,2015-02-12T23:43:28.164Z,"near the coast of central Peru",earthquake
2007-12-07T06:19:35.160Z,-56.205,-139.294,10,5.5,mwc,43,44.2,,1.23,us,usp000ftz9,2015-02-11T17:18:44.000Z,"Pacific-Antarctic Ridge",earthquake
2007-12-08T03:54:46.010Z,-60.508,-52.382,10,5.8,mwc,89,95.3,,1.35,us,usp000fu0x,2015-02-12T21:08:11.789Z,"South Shetland Islands",earthquake
2007-12-08T19:55:19.370Z,-7.558,37.646,6,5.6,mwc,209,27.7,,0.98,us,usp000fu2j,2015-02-12T23:25:33.443Z,"Tanzania",earthquake
2007-12-09T05:22:11.130Z,12.277,125.42,39.1,5.6,mwc,134,46.2,,1.16,us,usp000fu3d,2015-02-12T21:32:45.755Z,"Samar, Philippines",earthquake
2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,7.8,mwc,512,11.8,,1.12,us,usp000fu3q,2015-02-12T23:26:35.042Z,"south of the Fiji Islands",earthquake
2007-12-10T12:10:07.250Z,-3.568,144.439,10,5.7,mwc,118,31.8,,0.93,us,usp000fu6n,2015-02-12T20:44:38.932Z,"near the north coast of New Guinea, Papua New Guinea",earthquake
2007-12-11T17:20:54.870Z,-62.063,-65.835,10,5.9,mwc,174,32.8,,1.13,us,usp000fu96,2015-02-12T22:04:33.055Z,"southern Pacific Ocean",earthquake
2007-12-12T23:39:59.790Z,52.102,-131.554,10,5.8,mwc,395,134.6,,1.22,us,usp000fuba,2015-02-12T21:38:48.755Z,"Haida Gwaii, Canada",earthquake
2007-12-13T05:20:21.850Z,-23.157,-70.479,15,6,mwc,225,35.3,,1.1,us,usp000fuc0,2015-02-12T21:27:32.470Z,"Antofagasta, Chile",earthquake
2007-12-13T07:23:39.890Z,-23.202,-70.549,16,6.2,mwc,272,31.9,,1.11,us,usp000fuce,2015-02-12T20:50:28.416Z,"Antofagasta, Chile",earthquake
2007-12-13T15:51:27.210Z,-15.213,-172.367,17,6.2,mwc,427,23.9,,1.05,us,usp000fud1,2015-02-12T22:20:47.625Z,"Samoa Islands region",earthquake
2007-12-14T14:41:08.490Z,-52.008,161.2,10,5.5,mwc,15,134.8,,1.55,us,usp000fuf0,2015-02-11T17:18:44.000Z,"Macquarie Island region",earthquake
2007-12-15T08:03:15.790Z,-7.526,127.474,175.9,6,mwc,421,27.3,,0.81,us,usp000fugb,2015-02-12T21:12:20.288Z,"Kepulauan Barat Daya, Indonesia",earthquake
2007-12-15T09:39:53.620Z,-6.622,131.09,57,6.4,mwc,326,23.2,,0.93,us,usp000fugf,2015-02-12T23:01:11.325Z,"Kepulauan Tanimbar, Indonesia",earthquake
2007-12-15T18:22:27.160Z,-32.689,-71.695,25,5.9,mwb,251,51.9,,0.98,us,usp000fuh6,2015-02-12T21:14:37.191Z,"offshore Valparaiso, Chile",earthquake
2007-12-16T08:09:17.930Z,-22.954,-70.182,45,6.7,mwb,481,30.3,,1.11,us,usp000fujd,2015-02-12T21:54:21.297Z,"Antofagasta, Chile",earthquake
2007-12-19T09:30:27.930Z,51.36,-179.509,34,7.2,mwc,702,15.9,,0.96,us,usp000fuse,2015-02-12T20:19:54.820Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-19T09:35:16.540Z,51.021,-179.349,15.9,5.6,mb,124,130.4,,1.06,us,usp000fusg,2014-11-07T01:34:26.717Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-19T10:24:33.700Z,51.345,-179.493,30,5.5,mb,349,114.1,,0.78,us,usp000fusw,2015-02-12T20:42:56.703Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-19T11:34:56.950Z,-6.952,155.778,45.8,5.9,ms,190,40,,0.76,us,usp000fut3,2015-02-12T21:55:14.526Z,"Bougainville region, Papua New Guinea",earthquake
2007-12-19T14:51:39.150Z,51.301,-179.49,60.3,5.6,mwc,292,90.6,,0.8,us,usp000futs,2015-02-12T22:01:43.967Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-20T03:06:56.200Z,-32.713,-71.788,30.1,5.5,mwc,202,65.8,,,us,usp000fuv0,2015-02-11T17:18:45.000Z,"offshore Valparaiso, Chile",earthquake
2007-12-20T07:55:15.840Z,-39.011,178.291,20,6.6,mwc,461,18.8,,1.38,us,usp000fuvt,2015-02-12T22:03:48.587Z,"off the east coast of the North Island of New Zealand",earthquake
2007-12-20T09:48:29.950Z,39.417,33.212,10,5.7,mwc,302,50,,1.03,us,usp000fuw2,2015-02-11T17:18:45.000Z,"central Turkey",earthquake
2007-12-20T09:48:30.000Z,39.401,33.131,12.5,5.7,mw,,,,,iscgem,iscgem13293392,2015-02-12T23:40:47.943Z,"central Turkey",earthquake
2007-12-21T03:10:57.430Z,-57.72,-141.447,10,5.6,mwc,29,88,,1.17,us,usp000fuxg,2015-02-12T21:08:35.107Z,"Pacific-Antarctic Ridge",earthquake
2007-12-21T07:23:35.510Z,51.244,-179.009,30,5.7,mb,537,42.2,,0.9,us,usp000fuxu,2015-02-12T22:38:20.309Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-21T07:24:34.030Z,51.366,-178.979,25,6.3,mwc,336,39.1,,0.99,us,usp000fuxv,2015-02-12T23:07:24.858Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-22T07:11:08.100Z,-2.407,139.067,20,6.2,mwc,280,16.5,,1.22,us,usp000fv00,2015-02-12T23:37:08.812Z,"near the north coast of Papua, Indonesia",earthquake
2007-12-22T12:26:17.470Z,2.087,96.806,23,6.1,mwc,279,30.3,,1.1,us,usp000fv0p,2015-02-12T20:29:26.379Z,"Simeulue, Indonesia",earthquake
